question,document
What has to be true for the security policies and procedures in Requirement 1 to be compliant?,44
How do you check whether Requirement 1 policies and procedures are being managed correctly?,44
What does PCI mean by the processes for installing and maintaining network security controls in Requirement 1.1?,44
"Does 1.1.1 require policies and procedures to be documented, current, used, and known by impacted staff?",44
What should the assessor look at or ask to verify 1.1.1?,44
"What has to be documented and assigned for Requirement 1 activities, and how do you show staff understand it?",45
How do you test 1.1.2 to confirm the roles and responsibilities are actually assigned and understood?,45
"For Requirement 1, what evidence should be examined to verify roles and responsibilities are in place?",45
What does 1.1.2 require about ownership of day-to-day tasks under Requirement 1?,45
"Who needs to be interviewed to satisfy the testing for 1.1.2, and what are you checking for?",45
What has to be true of NSC ruleset configuration standards under 1.2.1?,46
How do you verify the NSC ruleset standards meet the requirement and are actually followed?,46
What does requirement 1.2 say about network security controls overall?,46
Which configuration items are acceptable examples of NSCs under these standards?,46
What should an examiner review to confirm 1.2.1.a and 1.2.1.b?,46
What does PCI require for changes to network connections and NSC configurations under 1.2.2?,47
How do you test compliance with requirement 1.2.2 for network connection changes?,47
How do you verify that NSC configuration changes were handled correctly under 1.2.2?,47
What kinds of network changes count as changes to connections for 1.2.2?,47
What are NSC configuration changes considered to include under 1.2.2?,47
What has to be shown in the network diagram for PCI DSS 1.2.3?,48
Does requirement 1.2.3 cover wireless networks too?,48
How do you test compliance with 1.2.3.a?,48
How do you verify the diagram is kept current after environment changes?,48
Can something other than a network diagram satisfy 1.2.3?,48
What has to be shown in the data-flow diagram for account data?,49
How often must the data-flow diagram be updated?,49
What do auditors check to verify the diagram meets the requirement?,49
Which PCI DSS requirement covers maintaining an accurate data-flow diagram?,49
"Can something other than a data-flow diagram satisfy the requirement, and if so, what?",49
"What does 1.2.5 require for any allowed service, protocol, or port?",51
"How do you prove the allowed network services, protocols, and ports are approved and have a business reason?",51
What should the reviewer check in NSC settings for 1.2.5?,51
"Who should approve allowed services, protocols, and ports under this control?",51
What is the security goal behind 1.2.5?,51
"What security features have to be set up for insecure services, protocols, and ports that are in use?",52
How do you prove insecure network services are being handled properly during an assessment?,52
Which requirement covers mitigating risk from insecure protocols or ports currently in use?,52
What evidence is checked to confirm insecure services have defined protections?,52
What do reviewers look for in NSC settings to verify the required protections are actually enabled?,52
How often do network security control configurations need to be reviewed?,53
What does requirement 1.2.7 expect the review to confirm?,53
What evidence should an assessor look for to verify 1.2.7 is being followed?,53
"In 1.2.7, what has to happen to NSC settings that no longer have a business reason?",53
"How can the 1.2.7 review be performed, and how is that documented?",53
How do we need to protect configuration files for network security controls?,54
What has to be true about NSC configuration files and the live network setup?,54
How do you verify compliance with requirement 1.2.8?,54
What kinds of files or settings count as a configuration file for an NSC?,54
What is the objective behind requirement 1.2.8?,54
What has to be true for inbound traffic into the CDE under 1.3.1?,55
How do you check that NSC config standards meet the inbound-traffic rule in 1.3.1?,55
What do the actual NSC settings need to show for inbound traffic to the CDE?,55
Which requirement says network access to and from the CDE must be restricted?,55
What is the objective of 1.3.1 in the customized approach?,55
What does PCI DSS 1.3.2 require for outbound traffic from the CDE?,56
How do you prove NSC settings meet the outbound-traffic rule in 1.3.2?,56
Does 1.3.2 require all nonessential outbound traffic to be blocked?,56
What should configuration standards for NSCs define under 1.3.2?,56
What is the objective of restricting outbound traffic from the CDE?,56
What does PCI DSS 1.3.3 require between wireless networks and the CDE?,57
How should wireless traffic into the CDE be handled by default?,57
What kind of wireless traffic is allowed into the CDE under 1.3.3?,57
How do you verify compliance with Requirement 1.3.3?,57
What is the security objective of the wireless-network control in 1.3.3?,57
What controls are required at the boundary between trusted and untrusted networks under requirement 1.4?,58
What does 1.4.1 require to be in place between trusted and untrusted networks?,58
How do you test that network security controls are defined between trusted and untrusted networks?,58
How do you verify that the actual network setup matches the documented standards and diagrams for 1.4.1?,58
What is the objective of requirement 1.4.1 in the customized approach?,58
What inbound traffic from an untrusted network is allowed into a trusted network under 1.4.2?,59
Does 1.4.2 require blocking everything except public services and stateful replies?,59
